category,property,type,count,values,sources
navigator,userActivation,object,60,{},www.youtube.com; www.google.com; browserleaks.com; timesofindia.indiatimes.com; fingerprint.com
navigator,userAgent,string,8842,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:148.0) Gecko/20100101 Firefox/148.0,hbx.media.net; firstpartysimulator.org; www.youtube.com; www.google.com; browserleaks.com; platform.twitter.com; coveryourtracks.eff.org; timesofindia.indiatimes.com; amiunique.org; ogs.google.com; fingerprint.com; ads.pubmatic.com
navigator,userAgentData,undefined,832,undefined,hbx.media.net; tsdtocl.com; js-sec.indexww.com; www.youtube.com; ms-cookie-sync.presage.io; amiunique.org; ogs.google.com; timesinternet-d.openx.net; browserleaks.com; s.amazon-adsystem.com; ssum-sec.casalemedia.com; firstpartysimulator.net; acdn.adnxs.com; ep2.adtrafficquality.google; firstpartysimulator.org; b7235a33fd35b8f0b5288e012cc5bd69.safeframe.googlesyndication.com; www.google.com; u.openx.net; platform.twitter.com; accounts.google.com; coveryourtracks.eff.org; timesofindia.indiatimes.com; b53f3cefc1b5b29da6bfa38defeaf6e8.safeframe.googlesyndication.com; ads.pubmatic.com; eus.rubiconproject.com; cdn.taboola.com; fingerprint.com; sync.intentiq.com; sync.inmobi.com
navigator,userLanguage,undefined,88,undefined,fingerprint.com; browserleaks.com; coveryourtracks.eff.org
navigator,vendor,string,710,,www.youtube.com; www.google.com; browserleaks.com; timesofindia.indiatimes.com; amiunique.org; fingerprint.com
navigator,vendorSub,string,13,,fingerprint.com; browserleaks.com
navigator,wakeLock,object,11,{},fingerprint.com; browserleaks.com
navigator,webdriver,boolean,154,false,www.youtube.com; www.google.com; browserleaks.com; coveryourtracks.eff.org; timesofindia.indiatimes.com; fingerprint.com
navigator,webkitBattery,undefined,2,undefined,browserleaks.com
navigator,webkitConnection,undefined,244,undefined,hbx.media.net; tsdtocl.com; js-sec.indexww.com; www.youtube.com; ms-cookie-sync.presage.io; amiunique.org; ogs.google.com; timesinternet-d.openx.net; browserleaks.com; s.amazon-adsystem.com; ssum-sec.casalemedia.com; firstpartysimulator.net; acdn.adnxs.com; ep2.adtrafficquality.google; firstpartysimulator.org; b7235a33fd35b8f0b5288e012cc5bd69.safeframe.googlesyndication.com; www.google.com; u.openx.net; platform.twitter.com; accounts.google.com; coveryourtracks.eff.org; timesofindia.indiatimes.com; b53f3cefc1b5b29da6bfa38defeaf6e8.safeframe.googlesyndication.com; ads.pubmatic.com; eus.rubiconproject.com; cdn.taboola.com; fingerprint.com; sync.intentiq.com; sync.inmobi.com
performance,,undefined,9,undefined,fingerprint.com
performance,clearMarks,string,88,[fn],timesofindia.indiatimes.com; www.google.com; ogs.google.com
performance,clearMeasures,string,77,[fn],www.google.com; ogs.google.com
performance,clearResourceTimings,string,4,[fn],www.youtube.com
performance,getEntries,string,30,[fn],timesofindia.indiatimes.com; fingerprint.com
performance,getEntriesByName,string,88,[fn],timesofindia.indiatimes.com; www.google.com; fingerprint.com; www.youtube.com
performance,getEntriesByType,string,785,[fn],www.youtube.com; www.google.com; timesofindia.indiatimes.com; ogs.google.com; fingerprint.com
performance,interactionCount,number,6,0; 1,timesofindia.indiatimes.com; ogs.google.com
performance,mark,string,473,[fn],www.youtube.com; www.google.com; timesofindia.indiatimes.com; ogs.google.com; fingerprint.com
performance,measure,string,135,[fn],timesofindia.indiatimes.com; www.google.com; ogs.google.com
performance,memory,undefined,14,undefined,ep2.adtrafficquality.google; www.google.com; ogs.google.com; www.youtube.com
performance,setResourceTimingBufferSize,string,21,[fn],timesofindia.indiatimes.com
performance,timeOrigin,number,140,1773393970750; 1773394074554; 1773393986322; 1773394025061; 1773393965352,ep2.adtrafficquality.google; www.youtube.com; www.google.com; timesofindia.indiatimes.com; fingerprint.com
performance,timing,object,1184,"{""navigationStart"":1773393982677,""unloadEventStart"":0,""unloadEventEnd"":0,""redirectStart"":0,""redirect; {""navigationStart"":1773394333638,""unloadEventStart"":1773394334346,""unloadEventEnd"":1773394334346,""re; {""navigationStart"":1773394080661,""unloadEventStart"":0,""unloadEventEnd"":0,""redirectStart"":17733940806; {""navigationStart"":1773394323677,""unloadEventStart"":0,""unloadEventEnd"":0,""redirectStart"":0,""redirect; {""navigationStart"":1773394005251,""unloadEventStart"":1773394005268,""unloadEventEnd"":1773394005280,""re",www.youtube.com; www.google.com; timesofindia.indiatimes.com; amiunique.org; ogs.google.com; fingerprint.com
permissions,query,string,19,microphone; camera; geolocation; notifications,fingerprint.com; www.google.com; browserleaks.com
plugins,mimeTypes,string,562,2 types,fingerprint.com; coveryourtracks.eff.org; browserleaks.com; amiunique.org
plugins,plugins,string,328,5 plugins,ep2.adtrafficquality.google; firstpartysimulator.org; www.youtube.com; browserleaks.com; coveryourtracks.eff.org; fingerprint.com
screen,addEventListener,function,4,[fn],browserleaks.com
